gender,age,ht_3,ht_5,ht_10,ht_25,ht_50,ht_75,ht_90,ht_95,ht_97,wt_3,wt_5,wt_10,wt_25,wt_50,wt_75,wt_90,wt_95,wt_97,bmi_3,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_85,bmi_90,bmi_95,bmi_97
F,8.791666667,47.55019685,48.07759843,48.90070866,50.3061811,51.91311024,53.56905512,55.10251969,56.04023622,56.65740157,46.40345905,47.93401649,50.49975324,55.46345517,62.26995487,70.99114499,81.24386258,88.93831707,94.77121248,13.42323,13.68463,14.12364,14.97938,16.17801,17.78438,18.91120897,19.830771,21.5304909,22.94802887
F,8.875,47.69311024,48.22377953,49.05181102,50.46543307,52.08106299,53.74535433,55.28602362,56.22787402,56.8476378,46.79502161,48.35035898,50.95787328,56.00290364,62.92117757,71.78427908,82.19941102,90.01130562,95.93007098,13.44016,13.70384,14.14675,15.01026,16.22014,17.84212,18.98012366,19.90890079,21.62573005,23.05747448
F,8.958333333,47.83429134,48.36830709,49.20137795,50.62326772,52.24779528,53.92066929,55.46874016,56.41484252,57.03728346,47.19185321,48.7723012,51.42212216,56.54951713,63.58088806,72.5874001,83.16655577,91.09683847,97.10204698,13.45772,13.72368,14.17046,15.04173,16.26284,17.90037,19.04952063,19.98747533,21.72132885,23.16719057
F,9.041666667,47.97389764,48.51125984,49.34952756,50.77984252,52.41354331,54.09519685,55.65086614,56.60133858,57.2265748,47.59415227,49.19999748,51.89263216,57.10333972,64.24904224,73.40046396,84.1450984,92.19467309,98.28694204,13.4759,13.74413,14.19478,15.07378,16.30609,17.95912,19.11937316,20.06646519,21.8172543,23.27714304
F,9.125,48.1119685,48.65283465,49.49637795,50.9353937,52.57846457,54.26917323,55.8326378,56.7876378,57.41570866,48.00202902,49.63355805,52.36946942,57.66439346,64.92561808,74.22331633,85.13484051,93.30456698,99.48442549,13.4947,13.76519,14.2197,15.10641,16.34988,18.01835,19.18965453,20.14584104,21.91347402,23.38729906
F,9.208333333,48.24874016,48.79318898,49.64216535,51.09011811,52.74279528,54.44279528,56.01433071,56.97397638,57.605,48.41563777,50.07313723,52.85276622,58.2327004,65.61054942,75.05582493,86.13551753,94.42623354,100.6942328,13.51411,13.78685,14.2452,15.1396,16.39418,18.07803,19.26034062,20.22557581,22.00995586,23.49762289
F,9.291666667,48.38437008,48.93248031,49.78708661,51.2442126,52.90677165,54.61637795,56.19614173,57.16059055,57.79464567,48.83511082,50.51880116,53.34256664,58.80830464,66.30379218,75.89779135,87.14688695,95.55936413,101.9160332,13.53412,13.80911,14.27129,15.17334,16.43899,18.13815,19.33140487,20.30564061,22.10666864,23.60808381
F,9.375,48.51905512,49.07094488,49.93129921,51.39787402,53.07066929,54.79011811,56.3784252,57.34779528,57.98496063,49.26060248,50.97068212,53.83893684,59.39118412,67.00519203,76.74903923,88.16866218,96.70362805,103.1494519,13.55474,13.83197,14.29796,15.20762,16.48428,18.19867,19.4028226,20.38600821,22.20358151,23.71864933
F,9.458333333,48.65295276,49.20874016,50.07507874,51.55141732,53.23476378,54.96433071,56.56141732,57.53582677,58.17622047,49.69217889,51.42889034,54.34194293,59.98129476,67.71468284,77.60934809,89.20049048,97.85862847,104.3940922,13.57596,13.85541,14.32519,15.24242,16.53005,18.25959,19.47456869,20.46665117,22.30066429,23.82928884
F,9.541666667,48.78633858,49.3461811,50.21866142,51.70507874,53.39929134,55.13929134,56.7453937,57.725,58.36866142,50.12999438,51.89346992,54.85162903,60.57865859,68.43211028,78.47843134,90.2420632,99.0239906,105.649513,13.59777,13.87943,14.35298,15.27775,16.57627,18.32088,19.54662051,20.5475442,22.39788709,23.9399692
F,9.625,48.91940945,49.48346457,50.36232283,51.85917323,53.56456693,55.31535433,56.93066929,57.91559055,58.5626378,50.57411508,52.36450903,55.36801717,61.1831654,69.15734207,79.35606852,91.29296146,100.1992735,106.9153177,13.62017,13.90402,14.38132,15.31358,16.62293,18.38251,19.6189515,20.628659,22.49522108,24.05066418
F,9.708333333,49.05248031,49.62090551,50.50633858,52.01401575,53.73094488,55.49275591,57.11751969,58.10787402,58.75830709,51.02462917,52.84207381,55.89110736,61.79479312,69.89015776,80.24192893,92.35278843,101.3840363,108.1909549,13.64315,13.92918,14.4102,15.3499,16.67002,18.44447,19.69153965,20.70997108,22.59263755,24.16134214
F,9.791666667,49.18582677,49.75874016,50.65106299,52.16988189,53.89870079,55.67185039,57.30625984,58.30212598,58.95606299,51.48162485,53.32618632,56.42094369,62.41343154,70.63040302,81.13572597,93.42114729,102.5777499,109.4759838,13.6667,13.9549,14.43962,15.38671,16.71751,18.50675,19.7643612,20.79145469,22.69010855,24.27197506
F,9.875,49.31972441,49.89732283,50.79677165,52.32712598,54.06822835,55.85295276,57.49720472,58.49862205,59.15606299,51.94514621,53.81691268,56.95748206,63.03897042,71.37785738,82.03708485,94.497553,103.7799512,110.7698091,13.69082,13.98118,14.46957,15.42399,16.7654,18.5693,19.83739314,20.87308482,22.78760665,24.38253502
F,9.958333333,49.45448819,50.03700787,50.9438189,52.48610236,54.23980315,56.03637795,57.69059055,58.6976378,59.35854331,52.41525938,54.31425291,57.50070042,63.67134362,72.1322563,82.94565285,95.58154261,104.9900892,112.0719018,13.7155,14.008,14.50003,15.46173,16.81368,18.63213,19.91061278,20.9548369,22.88510501,24.49299479
F,10.04166667,49.59051181,50.17811024,51.09259843,52.64720472,54.41385827,56.22248031,57.88669291,58.89937008,59.56377953,52.89198641,54.81822904,58.0505547,64.31035273,72.89337931,83.86105516,96.67260905,106.2075905,113.3816886,13.74074,14.03535,14.531,15.49992,16.86231,18.6952,19.98399779,21.03668675,22.98257733,24.60332779
F,10.125,49.72814961,50.32102362,51.24346457,52.8107874,54.59062992,56.41149606,58.0857874,59.10401575,59.77185039,53.37534934,55.32884108,58.60700079,64.95588751,73.66093981,84.78287292,97.77022321,107.4318601,114.6985302,13.76653,14.06324,14.56247,15.53855,16.9113,18.7585,20.05752615,21.11861063,23.07999788,24.7135081
F,10.20833333,49.86775591,50.46614173,51.39681102,52.97716535,54.77055118,56.60374016,58.28807087,59.31181102,59.98299213,53.86539228,55.84604493,59.1699505,65.6077716,74.4346512,85.71066521,98.87383393,108.6623247,116.0217872,13.79287,14.09166,14.59444,15.57761,16.96062,18.82202,20.13117619,21.20058521,23.17734149,24.8235105
F,10.29166667,50.00976378,50.6138189,51.55299213,53.14681102,54.95389764,56.79948819,58.49374016,59.52283465,60.19728346,54.36209316,56.36981855,59.73933771,66.26580657,75.21420483,86.64401313,99.98286802,109.8983449,117.3508423,13.81974,14.12059,14.62688,15.61709,17.01026,18.88572,20.20492657,21.28258757,23.27458358,24.93331042
F,10.375,50.15456693,50.76452756,51.71244094,53.32,55.14098425,56.99893701,58.70291339,59.73720472,60.41472441,54.86542995,56.90011784,60.31505218,66.92979403,75.99924797,87.58240963,101.0967302,111.1392593,118.6849902,13.84714,14.15003,14.6598,15.65696,17.06021,18.94959,20.27875629,21.36459523,23.3717001,25.04288396
F,10.45833333,50.3026378,50.91866142,51.87555118,53.49708661,55.33208661,57.20228346,58.91574803,59.95496063,60.6353937,55.37538061,57.43689872,60.89698367,67.59953554,76.78947196,88.52539174,102.2148253,112.3844067,120.0235473,13.87506,14.17997,14.69319,15.69724,17.11045,19.01362,20.35264468,21.44658611,23.46866758,25.1522079
F,10.54166667,50.45437008,51.07661417,52.04271654,53.67846457,55.52744094,57.40968504,59.13228346,60.17610236,60.8592126,55.89190103,57.98005095,61.48497787,68.27476655,77.58445793,89.4724524,103.3365139,113.6331034,121.3658081,13.9035,14.21041,14.72703,15.73789,17.16097,19.07779,20.42657139,21.52853856,23.56546313,25.26125968
F,10.625,50.61019685,51.23885827,52.21429134,53.86433071,55.72724409,57.62122047,59.35244094,60.40055118,61.08606299,56.41492507,58.52948635,62.07892455,68.9552666,78.38387519,90.4230625,104.4611347,114.8846442,122.7110452,13.93244,14.24133,14.76132,15.77891,17.21174,19.14207,20.50051644,21.61043134,23.6620644,25.37001743
F,10.70833333,50.77059055,51.40570866,52.39059055,54.055,55.93165354,57.8369685,59.57622047,60.62814961,61.31574803,56.94440866,59.08513877,62.67864733,69.64077115,79.18730486,91.37669293,105.5880703,116.1383013,124.058531,13.96188,14.27272,14.79605,15.8203,17.26277,19.20645,20.57446015,21.69224364,23.7584496,25.47845992
F,10.79166667,50.93590551,51.57759843,52.57200787,54.25066929,56.14070866,58.05681102,59.80346457,60.85874016,61.54807087,57.48024155,59.6468539,63.28396984,70.33097153,79.99432805,92.33274844,106.7165932,117.3933695,125.4074938,13.99182,14.30459,14.8312,15.86203,17.31403,19.27091,20.64838321,21.77395506,23.85459754,25.58656661
F,10.875,51.10653543,51.75484252,52.75874016,54.45145669,56.35448819,58.28066929,60.03389764,61.09200787,61.78267717,58.02233556,60.21449946,63.89469367,71.0256032,80.8045259,93.29069992,107.8460421,118.6490549,126.7571622,14.02224,14.33691,14.86677,15.9041,17.36551,19.33544,20.72226661,21.85554562,23.95048756,25.69431763
F,10.95833333,51.28287402,51.93771654,52.95098425,54.65748031,56.57283465,58.50830709,60.26732283,61.32759843,62.0192126,58.57055842,60.78794317,64.51062041,71.72431342,81.61747953,94.24995213,108.9757114,119.9046521,128.1067865,14.05314,14.36969,14.90275,15.94649,17.41719,19.40001,20.79609169,21.93699575,24.04609957,25.80169379
F,11.04166667,51.46523622,52.12649606,53.14893701,54.86866142,56.79562992,58.73952756,60.50326772,61.56515748,62.25728346,59.12479989,61.36700866,65.13155163,72.42683763,82.43270391,95.20993186,110.1048957,121.1593675,129.455573,14.0845,14.4029,14.93913,15.98919,17.46907,19.46462,20.86984014,22.01828633,24.14141407,25.90867656
F,11.125,51.65377953,52.32133858,53.3526378,55.08492126,57.02267717,58.97389764,60.74133858,61.80413386,62.49633858,59.68490564,61.95151956,65.75720074,73.13280104,83.24973608,96.16999978,111.2328455,122.4124514,130.8027061,14.11633,14.43656,14.9759,16.0322,17.52112,19.52924,20.94349396,22.09939861,24.23641208,26.01524807
F,11.20833333,51.84874016,52.52232283,53.56204724,55.30610236,57.25354331,59.21098425,60.98102362,62.04401575,62.73586614,60.25072137,62.5412995,66.38739137,73.84187297,84.06811307,97.12956063,112.3588772,123.6631103,132.1474361,14.1486,14.47063,15.01305,16.07549,17.57333,19.59386,21.01703489,22.18031382,24.33107526,26.12139201
F,11.29166667,52.05015748,52.72944882,53.77704724,55.53188976,57.48787402,59.45023622,61.22173228,62.28425197,62.97523622,60.82207069,63.13610598,67.02181486,74.55365659,84.88734987,98.08797509,113.4822193,124.9105725,133.4889473,14.18132,14.50512,15.05056,16.11907,17.6257,19.65846,21.09044653,22.26101479,24.4253857,26.22709056
F,11.375,52.2580315,52.94259843,53.99740157,55.76188976,57.72507874,59.69106299,61.46283465,62.5242126,63.21389764,61.39875518,63.73576262,67.66020668,75.26784324,85.70691735,99.04464789,114.6021442,126.1540223,134.8264242,14.21447,14.54002,15.08844,16.1629,17.6782,19.72302,21.16371155,22.34148377,24.51932616,26.33232837
F,11.45833333,52.47224409,53.1615748,54.22279528,55.99559055,57.96456693,59.93279528,61.70366142,62.76318898,63.4511811,61.98057645,64.34000487,68.30228021,75.983992,86.52637461,99.99891766,115.7179023,127.3927101,136.1590949,14.24805,14.57531,15.12666,16.207,17.73082,19.78754,21.2368133,22.42170373,24.61287993,26.43709027
F,11.54166667,52.69244094,53.38598425,54.45275591,56.23244094,58.20566929,60.17472441,61.94350394,63.00051181,63.68637795,62.56731402,64.94859022,68.94774885,76.70175013,87.34514843,100.9501671,116.8287663,128.6258202,137.4861439,14.28204,14.61099,15.16522,16.25134,17.78356,19.85199,21.30973548,22.50165801,24.70603086,26.54136175
F,11.625,52.91830709,53.6153937,54.68673228,56.47169291,58.44759843,60.41606299,62.18161417,63.23551181,63.91893701,63.15876947,65.56127616,69.59628192,77.42067671,88.1627538,101.8977348,117.9339864,129.852603,138.8067994,14.31643,14.64705,15.20411,16.2959,17.83638,19.91636,21.38246211,22.58133043,24.79876336,26.64512897
